comentario|😂😢😱😡👍❤
Me exaspera el acento fake de lanzani 😑😑😑|😡
Resume el Marginal!|🙏
Resumen del marginal|🙏
Jorge un teloresumo  de bajo presupuesto, de una pelicula japonesa llamada kibakichi, imaginate es japonesa! dale ronco.|🙏
Me pareció re bizarra la parte del loco con la remera de Avenged Sevenfold y el otro con campera con parche de Maiden robando a mano armada, osea WTF, pensé que los negros cabeza nomás robaban así (?|😱
Que hagan que animales pelen entre ellos o que los maten por entretenimiento da asco|😡
the last jedi?? 😏|🙏
Hace de el marginal, por favor!|🙏
Sos crack|❤
jajajja la pelea final con la musica de dbz jajja capo|😂
"Hace el resumen de ""erramentari"" te estallas"|🙏
por fa, las posibles vidas de mr nobody|🙏
La segunda temporada es muy buena|👍
Te lo resumo así nomás Marginal|🙏
Resume kings man|🙏
Resumí la copa libertadores|🙏
Resumen Liveman....|🙏
Resume El protegido y Fragmentado para prepararnos para Glass|🙏
Resume apocalypto  !!!!!|🙏
has Te Lo Resumo Así Nomás de la pelicula kingsman 1 y 2|🙏
"Por favor hace un te lo resumo así no más de las películas de "" el cubo"" ""el cubo 2 hipercubo"""|🙏
Sos malicioso. Y un salame|😡
ho¿Podrias resumir wall-e ?sueño con ver la parte en la que se ve con eva y que suene down with my baby|🙏
Porque no haces un te lo resumo así no más, de las tortugas ninja|🙏
Nunca se te ocurrio resumir un videojuego???|🙏
UN FAVOR HAZ UN TE LO RESUMO ASI NOMAS DE LA SAGA DE JASON BOURNE CON MATT DAMON me han dicho q es buena otros mala. Y quiero saber tu resumen a ver si me animo a verlo porfa. Aparte q tus resumenes son bien divertidos Jajajaja jajajaja saludos.|🙏
Soy El único que quiere que resuma El Marginal ? :v|🙏
Buen resumen pero una mierda la serie jaja|👍
Corcho de chiquititas 2:00 je|👍
Elite!|❤
Resume LUCIFER por fa 😈😈|🙏
Muere yiyo, lo mata la mujer de chelo.|👍
"Estaría que para Halloween resumieras ""La maldición de Hill House"" hoy la termine y me gustó bastante!"|🙏
Resumen la saga de Halloween Hola de Trick or Treat|🙏
Resume clases de Beverly Hills|🙏
Mi mamá me pide que resumas Candy por favor hazlo|🙏
"Sos un genio!! Te miramos siempre con mi cuñado tomando mates en la tarde. Por favor hace una de ""niñera a prueba de balas"" o la saga de ""depredador"" o la de ""alien"" jaja seguí asi que la rompes con tus videos!!"|❤
Jorge subí Jason en el espacio por favor|🙏
Resumi la caida de la casa blanca|🙏
me la pelan me chupan la pija y es como el joker un puto loco de mierda que le  chupa a todos un buevo|😡
Acabo de descubrir que me sale hacer tu voz. Estoy jodiendo a toda mi familia con audios jajajja|😂
Ni en drogas veo esta serie|😡
Ya me dieron ganas de verla. Pero es tiempo de un te lo resumo de una telenovela.|🙏
Por favor un te lo resumo así nomas de Breaking Bad!!!! Porfaaaa!!!!!|🙏
"Deberías hacer un te lo resumo asi no mas de los envidiosos que te  siguen ""madre de Dios"" cuanto critican y no hacen nada..."|😡
Como sera de chota esta serie que recién ahora me entero que Roque es el Cuis.|😡
Oigan don cree que pueda resumir Fiebre de amor la película de Luis Miguel y Lucerito :v|🙏
COOOOMO VAN A MATAR AL GALLO 😔😔PD: Hace de High School Musical (si re ñoño pero muero por verlo)|😢
resumi la serie de fash por favor|🙏
Resumí el planeta de los simios|🙏
Por favor resumi Anacleto|🙏
Esto parece mas un Grand Theft Auto IV Argentino (Osea, Para Pobres)|😱
Podes aser un video de darling in the franxx un resumen con tu toque|🙏
Resume Whiplash!!!!!!|🙏
La saga de REC. Aunque sea las dos primeras|🙏
Che te falto el motivo por que Nelson se trepaba a los árboles.|😡
Resumi la trilogia de cloverfield|🙏
Y también as un resumen se sully hazaña en el hudson|🙏
Porque no ases un resumen de ace ventura detective de mascotas y Ace ventura 2 operación africa|🙏
resumi el marginal|🙏
Resumí la saga de Alíen !|🙏
Me parece raro que nunca hayas hecho un resumen de la pelicula Need For Speed :O|😱
El pueblo exige el resumen de big mouth|🙏
resumi el marginal|🙏
